Fecha,DIALLU0.1,HUMCALH,HUMCALMAXD,HUMCALMIND,HUMSUEPROF1MTS,HUMAIR2MTSH,HUMSUE20CMH,PREACU2MIN,PREINT30MIN,TEMSUE10CM
2017-10-19 07:00:00,0,98,98,48,7.6,6,20.2,7.8,0,7.8
2017-10-20 07:00:00,0,95,95,55,9.4,8,22,9.8,0,11
2017-10-23 07:00:00,0,91,91,60,8.4,6.2,18,9.2,0,8.8
2017-10-24 07:00:00,0,91,91,62,9.4,7.8,18,10.2,0,10
2017-10-25 07:00:00,0,91,91,56,9.8,9,19.2,10.6,0,10.2
2017-10-27 07:00:00,1,95,98,71,10,6.8,24,10.4,4.2,12
2017-10-28 07:00:00,1,96,96,62,10.6,9.8,20.2,11,4.2,11.8
2017-10-30 07:00:00,1,98,98,57,11.4,10.8,18,11.6,0.6,11.8
2017-10-31 07:00:00,1,93,93,54,11.2,10.4,21.2,11.8,5.8,11.2
2017-11-01 07:00:00,1,96,96,56,11.4,8,20.6,11.8,7.4,12
2017-11-02 07:00:00,1,95,95,52,9.8,8.4,21.6,10.2,3.3,9.8
2017-11-03 07:00:00,1,96,96,76,12,9.2,21,12.4,11.2,12.6
2017-11-07 07:00:00,1,96,96,54,11.4,7.8,21.8,11.8,3.6,12.2
2017-11-08 07:00:00,0,96,96,55,11.8,9,21.4,12.2,0,11
2017-11-09 07:00:00,1,92,92,55,11.6,11.2,21.4,12.4,2.2,12.8
2017-11-10 07:00:00,1,94,94,64,12.4,11.8,20,13,20.4,13.2
2017-11-14 07:00:00,1,98,98,55,9,6.4,19.8,9.2,19.6,9.8
2017-11-15 07:00:00,1,98,98,64,11.4,10.2,18.4,11.6,14.8,11.4
2017-11-16 07:00:00,1,98,98,62,12,10.6,21.8,12.2,6.2,12.2
2017-11-17 07:00:00,1,96,96,58,11.8,11.4,20.6,12.2,3.4,12.2
2017-11-20 07:00:00,1,96,96,66,11.4,9,19.2,11.8,5.6,11.8
2017-11-21 07:00:00,0,95,95,58,7.8,5.4,21.8,8.2,0,9
2017-11-22 07:00:00,1,93,93,54,10.8,7.6,22,11.4,4,11.2
2017-11-23 07:00:00,1,95,95,56,8.6,6.2,21.6,9,0.6,10.8
2017-11-24 07:00:00,1,95,95,50,8.8,7.4,21.4,9.2,0.4,11
2017-11-27 07:00:00,0,96,96,53,10.4,7.2,19.8,10.8,0,10.4
2017-11-28 07:00:00,0,93,93,60,8.6,7.8,21,9.2,0,9.6
